电影ID,电影名
632,彼时曾相伴
633,桃花灿烂
635,上一当
636,雨中的树
637,女导演
639,我是奋青
640,请将我遗忘
641,我们害怕
642,非常夏日
643,狂奔蚂蚁
644,白粉妹
645,跑出一片天
646,迷与狂
647,无蝉的夏天
648,郎在对门唱山歌
649,夜店北京
650,假如王子睡着了
652,方便面时代
653,我爱长发飘飘
654,再见我们的十年
655,滚拉拉的枪
656,活着爱着乐着
657,胡杨的夏天
658,在勾引中学会爱2
659,伏魔者
660,有我在这里
661,青春盛宴
662,隐形的翅膀
663,明月的暑期日记
664,热血街头
665,斐济99
666,男孩都想有辆车
668,毕业那年
669,雷锋在1959
670,柠檬
671,北京童话
672,幸福59厘米之夜天使
673,第二次爱你
674,无限斗界之暗夜双龙
675,玛丽的自然卷世界
676,非常绑匪
677,红色康拜因
678,垫底联盟
679,不良
680,与往事干杯
681,青春期4
682,那时的他们
683,"我的""狐朋狗友"""
685,暴躁天使
686,减法人生
687,私人订做
688,死神与少女
689,咸鱼传奇
690,我们毕业的夏天
691,缞神契约
692,地下的天空
693,王牌御史猎妖教室
694,熊猫奶糖
695,斗争
696,一纸婚约
697,我的青春蜜友
698,西施眼
699,夜店北京2
700,我们毕业啦
701,青春如期
703,摇滚水果
704,我们恋爱吧
705,拼时代
706,志愿者
707,我们的青春不怕疼
708,不如归去
709,再见时光
710,小字辈
711,闺蜜
712,街上流行红裙子
713,幸福59厘米之无镜的爱
714,枪手
715,恐怖爱情故事之死亡公路
716,电竞之王
717,恋者多喜欢
718,女帅男兵
719,上海公园
720,东来旅馆
721,时间都去哪了
722,别跟我谈高富帅
723,旅程
724,我在记忆里等你
725,离骚II
726,婼玛的十七岁
727,笨鸟
728,蓝学校
729,心花怒放
730,与你同在的夏天
731,女孩，你的一分钟有多长
732,让我为你靠点谱
733,逆袭
734,他叫苏格
735,逆光
736,紫陀螺
738,爱情
739,盛糖乐队
740,所爱非人
741,金牌流浪狗
742,青年
743,摊开你的地图
744,爱呦，阿斗
745,我的中学时代
746,心·心
747,少年花草黄
748,离别也是爱
749,北京时间
750,了不起的高二八班
751,我只要我们在一起
752,哦，香雪
753,小婷
754,渴望一份真爱的感觉
755,德兰
756,生活而已
757,环城七十里
758,保留
759,遥远的天熊山
760,飞
761,行歌坐月
762,双煞
763,蜗牛也是牛
764,房车
765,夜店小团圆
767,将进酒
768,青春无悔
769,校园疯骚史之舞动青春
770,初见:子非鱼
771,梦回少年时
772,旗鱼
773,大学时代
774,Hi，高考君
775,嫩模圈
776,梁亮亮和谢小星的简单故事
777,爱的是你
778,离骚
779,致敬青春
780,小阴谋大爱情
781,那些一见钟情的事
782,疯狂第一次
783,爱之初体验
784,一日一夜
785,我们的田野
786,莫小白的水怪日记
787,北京你好
788,有言在仙
789,金碧辉煌
790,记得少年那首歌
791,1000's计划
792,合租客
793,雷锋侠
794,冬日细语
795,梅雨季节
796,童年的最后一个夏天
797,谁的青春不热血之深流不息
798,那女孩真帅
799,无欲不爱
800,我的爱情日记
801,体育皇后
802,虫样年华
803,夏至未至
804,荷尔德林的陶
805,上位2
806,我们是冠军
807,糖豆八部
808,魔法触恋
809,豆蔻年华
810,完美的爱
811,浩然是谁
812,你赔了我赚了
813,五年模拟
814,胸毛传
815,坏孩子的秋天
816,七月流火
817,鱼不在水里
818,真爱至上
820,房间里的舞蹈
821,青春荷尔蒙2躁动时代
822,崩毁
823,第二梦
824,十七
826,我愿意
827,红领巾与王小明
828,黑白照片
829,100个
830,等你追我
831,猎时者
832,练胆儿
833,一见钟情
834,失恋33年
835,110
836,梭哈人生
837,金牌，小姐和猫
838,不敢说再见
839,电竞高校
840,中国霸王花
841,笑嗷喜剧人
842,捕蛇少年
843,失踪的女中学生
844,网络时代的爱情
845,今天明天
846,蚀之怀朴抱素
847,反角度美丽
848,结婚前奏曲
850,爱的三人行
851,男孩向前冲
852,完美超越
853,爱你不等来生
854,校花驾到2蜜桃时代
855,黑白照相馆
